id,tempat,sinonim 1,sinonim 2, sinonim 3,sinonim 4,sinonim 5
271,Jalan Moroseneng - Benowo,,,,,
272,Jalan Pakal - Pakal,,,,,
273,Jalan Raci - Pakal,,,,,
274,Jalan Benowo - Pakal,,,,,
275,Jalan Babat Jerawat - Pakal,,,,,
276,Jalan Romokalisari - Pakal,,,,,
277,Jalan Singapur - Pakal,,,,,
278,Jalan Alas Malang - Sambikerep,,,,,
279,Jalan Made - Sambikerep,,,,,
280,Jalan Ngemplak - Sambikerep,,,,,
281,Jalan Bungkal - Sambikerep,,,,,
282,Jalan Sawo - Sambikerep,,,,,
283,Jalan Sambikerep - Sambikerep,,,,,
284,Jalan Kalijaran - Sambikerep,,,,,
285,Jalan Dukuh Bulak Banteng - Kenjeran,,,,,
286,Jalan Kedinding Lor - Kenjeran,,,,,
287,Jalan Kedungmangu (Kedung Mangu) - Kenjeran,,,,,
288,Jalan Randu - Kenjeran,,,,,
289,Jalan Pogot - Kenjeran,,,,,
290,Jalan Nambangan - Kenjeran,,,,,
291,Jalan Bulak Banteng - Semampir,,,,,
292,Jalan Bulak Banteng Wetan - Semampir,,,,,
293,Jalan Bulak Rukem - Semampir,,,,,
294,Jalan Bulak Jaya - Semampir,,,,,
295,Jalan Bulak Sari - Semampir,,,,,
296,Jalan Wonokusumo - Semampir,,,,,
297,Jalan Wonosari Lor - Semampir,,,,,
298,Jalan Karang Tembok - Semampir,,,,,
299,Jalan Nyamplungan - Semampir,,,,,
300,Jalan Pegirian - Semampir,,,,,
301,Jalan Pegirian - Simokerto,,,,,
302,Jalan Tambakrejo - Simokerto,,,,,
303,Jalan Kapas Krampung - Tambaksari,,,,,
304,Jalan Tambaksari - Tambaksari,,,,,
305,Jalan Residen Sudirman - Tambaksari,,,,,
306,Jalan Pacar Keling - Tambaksari,,,,,
307,Jalan Pacar Kembang - Tambaksari,,,,,
308,Jalan Kalasan - Tambaksari,,,,,
309,Jalan Jolotundo - Tambaksari,,,,,
310,Jalan Tambang Boyo - Tambaksari,,,,,
311,Jalan Kedung Tarukan - Tambaksari,,,,,
312,Jalan Kaliwaron - Tambaksari,,,,,
313,Jalan Kaliwaron - Gubeng,,,,,
314,Jalan Kalikepiting - Tambaksari,,,,,
315,Jalan Karang Asem - Tambaksari,,,,,
